"id","name"
11837,"хлопок с полиэфирным покрытием, полиэстер"
11838,"кожа"
11839,"натуральная кожа, хлопок"
11840,"латунь, покрытие GUN"
11841,"искусственная кожа, бумага"
11842,"латунь/кожа"
11843,"железо, цинковый сплав, хромирование"
11844,"кожзам"
11845,"кожа, полиэстер"
11846,"латунь с позолотой"
11847,"латунь с хромированием"
11848,"полиамид, полиэстер"
11849,"корпус- сплав, крепление- кожа"
11850,"корпус- сплав цинка, крепление- натуральняа кожа"
11851,"материал Eastman tritan™ без БФА"
11852,"алюминий с медным покрытием"
11853,"резина/металл"
11854,"винил/металл"
11855,"полиэстер/винил"
11856,"рипстоп полиэстер 420D"
11857,"полиэстер 420D, полиэстер рипстоп"
11858,"полиэстер рипстоп"
11859,"полиэстер/нержавеющая сталь"
11860,"хлопок/силикон"
11861,"флис/полиэстер рипстоп"
11862,"полиэстер рипстоп/пластик"
11863,"блокнот- бумага, ручка- пластик"
11864,"бумага"
11865,"материал UltraHyde"
11866,"джут"
11867,"ПС пластик"
11868,"металл, пластик, ЭВА"
11869,"нержавеющая сталь/дерево/полиэстер"
11870,"АБС пластик/АС пластик"
11871,"полиэстер 600D, рипстоп"
11872,"АБС пластик/ПК пластик"
11873,"ТПУ/АБС пластик"
11874,"ПК пластик"
11875,"Eastman Tritan™ без БФА"
11876,"хлопок 220 г/м2"
11877,"ЭВА"
11878,"полиамид"
11879,"100% полиэстер, сетка"
11880,"85% хлопок, 15% вискоза"
11881,"100% хлопок, пике"
11882,"100% чесаный хлопок, пике"
11883,"100% микрополиэстер"
11884,"55% хлопок, 45% полиэстер"
11885,"55% хлопок, 45% полиэстер, поплин"
11886,"50% хлопок, 50% полиэстер, футер"
11887,"50% хлопок, 50% полиэстер"
11888,"90% хлопок, 10% вискоза"
11889,"90% хлопок, 10% полиэстер"
11890,"футер, 50% хлопок, 50% полиэстер"
11891,"french terry- 50% хлопок, 50% полиэстер"
11892,"french terry- 90% хлопок, 10% полиэстер"
11893,"65% полиэстер, 35% хлопок, джерси"
11894,"65% полиэстер, 35% хлопок"
11895,"65% полиэстер, 35% хлопок, саржа"
11896,"100% полиэстер с водостойким покрытием и водоотталкивающей отделкой"
11897,"100% микрополиэстер, джерси"
11898,"трикотаж, 100% микрополиэстер"
11899,"полиэстер, флис"
11900,"микрофлис, 100% полиэстер, обе стороны чесаные, одна сторона с антипиллинговым покрытием"
11901,"100% полиэстер/ 94% полиэстер, 6% эластан"
11902,"трикотаж, 100% полиэстер"
11903,"100% полиэстер, джерси"
11904,"100% микрополиэстер/91% микрополиэтер, 9% эластан"
11905,"50% хлопок, 50 полиэстер"
11906,"64% хлопок, 25% полиэстер, 11% вискоза"
11907,"65% хлопок, 35% полиэстер"
11908,"пластик с эффектом натуральной кожи"
11909,"пластик с прорезиненным покрытием, металл"
11910,"пластик с покрытием софт-тач, металл"
11911,"полиэтилен/металл/пластик"
11912,"100% полиэстер 190T"
11913,"полиэстер 210Т"
11914,"нетканый материал"
11915,"специальный металлический сплав"
11916,"бумага/пластик"
11917,"силикон/ABS пластик/липкий стикер"
11918,"пластик с покрытием софт-тач"
11919,"пластик/искусственная кожа"
11920,"100% полиэстер 240T эпонж с покрытием"
11921,"силикон/пластик"
11922,"высококачественный нейлон"
11923,"100% полиэстер, флис"
11924,"искусственная кожа/металл/дерево/фланель"
11925,"джинса 600D"
11926,"силикон/АБС пластик"
11927,"бумага, пластик/металл"
11928,"медный сплав с посеребрением и частичной позолотой"
11929,"стекло/натуральная кожа"
11930,"латунь/пушечная сталь"
11931,"натуральная фактурная кожа наппа"
11932,"натуральная гладкая кожа наппа"
11933,"кожа наппа гладкая"
11934,"латунь/платина"
11935,"полиэстер 900D/М2,  добби, искусственная кожа"
11936,"полиэстер 1680D, ПВХ"
11937,"натуральная кожа/нержавеющая сталь"
11938,"сплит-кожа/натуральная кожа/нержавеющая сталь"
11939,"латунь/позолота/хрусталь"
11940,"латунь/хрусталь"
11941,"латунь, покрытие: золото, никель"
11942,"литьевой мрамор (специальный композитный материал) с бронзовым покрытием"
11943,"фанера (ФК)"
11944,"бумага/PU"
11945,"бумага, металл"
11946,"бумага, имитирующая кожу, металл"
11947,"бумага, имитирующая кожу, металл, пластик"
11948,"экокожа"
11949,"эпонж/металл"
11950,"дерево/картон"
11951,"латунь/золото/яшма"
11952,"латунь, золото"
11953,"фианиты/агат/хрусталь/латунь/золото"
11954,"корпус- латунь, лак/отделка и детали дизайна- хром"
11955,"корпус- латунь, лак/отделка и детали дизайна- позолота"
11956,"корпус- латунь, лак/отделка и детали дизайна- хром, позолота"
11957,"латунь/лак/позолота"
11958,"нержавеющая cталь/АБС пластик"
11959,"полиэстер/дерево/металл/пластик"
11960,"керамика/металл/дерево"
11961,"Eastman Tritan™ без БФА/нержавеющая сталь"
11962,"Eastman Tritan™ без БФА./SAN пластик"
11963,"дизайнерский картон/шпон"
11964,"драгоценная черная смола/платиновое напыление/перо-золота 585 пробы/вставка с родиевым напылением"
11965,"нержавеющая сталь/черное сапфировое стекло"
11966,"нержавеющая сталь/синий лак"
11967,"натуральная кожа/подкладка-жаккард/кольцо вокруг эмблемы с палладиевым напылением"
11968,"драгоценная черная смола/перо - золото 750 пробы/вставка с родиевым напылением"
11969,"замша/жаккардовая подкладка"
11970,"кукла- хлопок, чайник- фарфор"
11971,"шерсть 100%, искусственный мех"
11972,"кукла- фарфор/хлопок, зонт- полиэстер"
11973,"кукла- фарфор/текстиль, нож- нержавеющая сталь"
11974,"металл/пластик/полиэстер"
11975,"АБС пластик/дерево"
11976,"АБС пластик/резина"
11977,"нержавеющая сталь/акрил"
11978,"пластик ПП"
11979,"стекло/силикон/нержавеющая сталь"
11980,"парусина 407 г/м2 хлопок, джут"
11981,"парусина 407 г/м2 хлопок"
11982,"полиэстер рипстоп 600D"
11983,"винил"
11984,"мешковина 542 г/м2, хлопок, искусственная кожа"
11985,"ПЭТ, пластик, ПВХ"
11986,"ПЭТ, пластик"
11987,"металл/EVA"
11988,"стекло/сплав с содержанием алюминия не менее 95% (белый металл)"
11989,"АС пластик без БФА и ПП пластик"
11990,"91% полиэстер, 9% эластан"
11991,"100% полиэстер микрофлис"
11992,"100% полиэстер стретчевый материал с подкладкой сеткой 100% полиэстер"
11993,"100% полиэстер оксфорд с подкладкой полиэстер таффета"
11994,"95% хлопок, 5% эластан, джерси"
11995,"52% хлопок, 48% полиэстер футер"
11996,"100% полиэстер, матовый поплин"
11997,"купол- полиэстер, стержень и ручка- дерево, спицы- металл"
11998,"картон с покрытием ПВХ"
11999,"корпус- сталь, крепление- натуральная кожа"
12000,"полипропилен 180 мкм"
12001,"кристаллы Swarovski"
12002,"кристаллы Swarovski/лак/металл"
12003,"металл/лак/кристаллы Swarovski"
12004,"100% полиэстер. Подкладка 100% полиэстер, сатин. Утеплитель 100% полиэстер"
12005,"керамика с покрытием софт-тач"
12006,"микрофибра"
12007,"АБС и АС пластик"
12008,"АБС пластик/алюминий"
12009,"ПУ"
12010,"ПП пластик"
12011,"алюминий с резиновым покрытием"
12012,"90% полиэстер, 10% хлопок"
12013,"хлопок парусина"
12014,"полиэстер 600D с акцентами из полипропилена"
12015,"полиэстер 190Т"
12016,"металл c покрытием софт-тач"
12017,"ткань"
12018,"дерево/цинковый сплав"
12019,"полиэстер 600D/добби"
12020,"полиэстер 600D/ПУ винил"
12021,"полиэстер 300D/ПУ винил"
12022,"полиэстер с покрытием ПУ/рипстоп полиэстер/тарпаулин"
12023,"полиэстер 1680D/рипстоп 600D"
12024,"полиэстер добби 600D"
12025,"полиэстер 300D/тарпаулин"
12026,"полиэстер 300D/полиэстер с покрытием ПУ"
12027,"алюминий/полиэстер"
12028,"корпус- нержавеющая сталь, крепление- натуральная кожа"
12029,"корпус- силикон, крепление- пластик"
12030,"корпус- нержавеющая сталь, крепление нержавеющая сталь"
12031,"нержавеющая сталь/натуральная кожа/пластик"
12032,"полиэстер 600D, дерево/металл"
12033,"100% хлопок, твил"
12034,"родированное серебро 925-й пробы, сталь, латунь"
12035,"65% полиэстер, 35% хлопок, пике"
12036,"кукла- фарфор/текстиль"
12037,"100% хлопок, джерси, 150 г/м2"
12038,"натуральная кожа с углеродным покрытием"
12039,"перфорированная кожа"
12040,"телячья кожа"
12041,"белый и красный лак, хром"
12042,"латунь, хром"
12043,"темно-синий лак, хром"
12044,"лак, позолота, латунь"
12045,"ювелирная латунь, платина, синий лак, серебряная пудра"
12046,"палладий, черный китайский лак"
12047,"палладий, лак"
12048,"ювелирная латунь, черный китайский лак"
12049,"палладий, черный матовый лак"
12050,"ювелирная латунь, позолота, черный лак, золотая пудра"
12051,"палладий, бирюзовый лак"
12052,"палладий, розовый лак"
12053,"сталь, древесный уголь"
12054,"ювелирная латунь, черный лак, хром"
12055,"ювелирная латунь, синий лак, хром"
12056,"нержавеющая сталь, хром, матовая полировка"
12057,"нержавеющая cталь, хром"
12058,"белый лак, хром"
12059,"латунь, черный и красный лак"
12060,"металл, лак"
12061,"металл, хром, лак"
12062,"металл, красный лак"
12063,"ювелирная латунь, хром, красный лак"
12064,"ювелирная латунь, хром, белый лак"
12065,"ювелирная латунь, хром, лак"
12066,"черный лак, хром"
12067,"хром"
12068,"лак, хром"
12069,"хром, матовая полировка"
12070,"ювелирная латунь, палладий, лак"
12071,"ювелирная латунь, позолота, черный лак с гравировкой птицы Феникс из тонкой позолоты, золотая пудра"
12072,"ювелирная латунь, палладий, черный лак"
12073,"платинирование"
12074,"сталь, палладий"
12075,"высокопрочная ювелирная латунь, позолота, лак"
12076,"ювелирная латунь, лак"
12077,"ювелирная латунь, палладий, белый лак, красный камень кабашон"
12078,"ювелирная латунь, палладий, черный лак, красный камень кабашон"
12079,"ювелирная латунь, палладий, фиолетовый лак"
12080,"ювелирная латунь, палладий, белый перламутровый лак"
12081,"палладий, синий и белый лак, позолота, дерево"
12082,"желтая позолота, палладий"
12083,"лакированное дерево, палладий"
12084,"палладий"
12085,"палладий, позолота"
12086,"латунь, палладий"
12087,"сплав цинка"
12088,"сплав цинка/кожа"
12089,"металл/поликарбонат"
12090,"металл/PU"
12091,"латунь/кожа/PU"
12092,"латунь/хром, сплав цинка"
12093,"латунь/кожа, сплав цинка/кожа"
12094,"латунь с покрытием софт-тач/хром"
12095,"латунь/хром"
12096,"металл/PU, латунь с покрытием софт-тач/хром"
12097,"металл/поликарбонат, латунь/лак/хром"
12098,"латунь/лак/хром"
12099,"полиэстер/стекловолокно"
12100,"полиэстер/алюминий"
12101,"синтетика"
12102,"латунь с покрытием софт-тач"
12103,"латунь/хром, PU"
12104,"латунь с покрытием софт-тач, PU"
12105,"кожа, латунь/хром"
12106,"латунь/лак/хром, PU"
12107,"кожа, латунь/лак/хром"
12108,"сплав цинка/кожа, латунь/кожа"
12109,"кожа, латунь/кожа"
12110,"сталь/кожа"
12111,"латунь/лак"
12112,"латунь/лак/PU"
12113,"латунь/хром/PU"
12114,"сплав цинка, латунь/лак"
12115,"PU, латунь/хром/PU"
12116,"PU, латунь/лак"
12117,"латунь, PU, латунь/лак"
12118,"латунь, латунь/хром/PU"
12119,"кожа, латунь/лак"
12120,"PU, латунь/лак/PU"
12121,"латунь/лак/хром/PU"
12122,"сталь/кожа, латунь/лак"
12123,"сплав цинка, латунь/хром"
12124,"латунь, PU"
12125,"латунь, латунь/лак"
12126,"полиэстер 1480D, добби"
12127,"полиэстер M2"
12128,"ткань Grey Heather, полиэстер 600D PU"
12129,"полиэстер 1200D PU"
12130,"полиэстер М2"
12131,"полиэстер 900D, рипстоп"
12132,"фьюжн, 2 мм рипстоп"
12133,"полиэстер 900D/М2, добби"
12134,"полиэстер 900D, хонейкомб"
12135,"полиэстер 600D/2 мм, рипстоп, фьюжн"
12136,"полиэстер 600D PU"
12137,"ткань Grey Heather, полиэстер 900D PU"
12138,"полиэстер 1680D"
12139,"полиэстер 900D/600D, искусственная кожа"
